app_variable_name,original_nhis_variable_name,brief_summary,nhis_question,app_levels,transformations_from_nhis
now_active,NOWACTIVE,Whether the subject is increasing their physical activity,Are you now increasing your physical activity or exercise? ,Yes and No,1 becomes Yes; 2 becomes No; all others become NA
physical_activity_moderate_freq,MODFREQW_A,Times per week: moderate physical activity.,Frequency of moderate physical activity (times per week),Number 0 through 28 (extreme values listed as 28),94 (never) becomes 0; 95 (extreme) becomes 28; 96 (unable) becomes 0; 97-99 becomes NA
strength_act_freq_w,STRFREQW_A,Times per week: strengthening physical activity.,Frequency of strengthening physical activity (times per week),Number 0 through 28 (extreme values listed as 28),94 (never) becomes 0; 95 (extreme) becomes 28; 96 (unable) becomes 0; 97-99 becomes NA
str_unable,STRNR_A,Binary: whether the subject is unable to perform strengthening activities.,"Including activities that you mentioned earlier, how often do you do LEISURETIME physical activities specifically designed to STRENGTHEN your muscles such as sit-ups, push-ups, or lifting weights? (Note: One possible answer is unable to do this type of activity)",Yes and No,9996 becomes Yes; less than 9995 becomes No; greater than 9996 becomes NA
vig_act_freq_w,VIGFREQW_A,Times per week: vigorous physical activity.,Frequency of vigorous physical activity (times per week),Number 0 through 28 (extreme values listed as 28),94 (never) becomes 0; 95 (extreme) becomes 28; 96 (unable) becomes 0; 97-99 becomes NA
vig_unable,VIGFREQW_A,Binary: whether the subject is unable to perform strengthening activities.,Frequency of vigorous physical activity (times per week); Note: One possible answer is unable to do this type of activity,Yes and No,96 becomes Yes; less than 96 becomes No; greater than 96 becomes NA
walk_leisure_yn,WLKLEIS_A,Binary: Whether the subject walked for leisure in the past 7 days.,"Sometimes you may walk for fun, relaxation, exercise, or to walk the dog. In the past 7 days, did you walk for any of these reasons?",Yes and No,1 becomes Yes; 2 becomes No; others become NA
food_runout_worry,FDSRUNOUT_A,Whether the subject worried food would run out before being able to buy more.,"The first statement is I/we worried whether my/our food would run out before I/we got money to buy more. Was that often true, sometimes true, or never true for you and your amily in the last 30 days?","Often True, Sometimes True, and Never True",1 becomes Often true; 2 becomes sometimes true; 3 becomes never true; others become NA
food_not_last_m,FDSLAST_A,Whether food purchased didn't last and subject did not have money to buy more in last month.,"The food that I/we bought just didn't last, and I/we didn't have money to get more. Was that often true, sometimes true, or never true for you and yourfamily in the last 30 days?","Often True, Sometimes True, and Never True",1 becomes Often true; 2 becomes sometimes true; 3 becomes never true; others become NA
unafford_bal_meals_m,FDSBALANCE_A,Subject's ability to afford balanced meals.,"I/we couldn't afford to eat balanced meals. Was that often true, sometimes true, or never true for you and yourfamily in the last 30 days?","Often True, Sometimes True, and Never True",1 becomes Often true; 2 becomes sometimes true; 3 becomes never true; others become NA
